date,year,month,day,population,tot_case,Dose1_Complete,Series_Complete
2021-08-07,2021,8,7,334735155,34816818,192438927,164743794
2021-08-08,2021,8,8,334735155,34912650,192953325,165015515
2021-08-09,2021,8,9,334735155,35004899,193302746,165190125
2021-08-10,2021,8,10,334735155,35138183,193721164,165394928
2021-08-11,2021,8,11,334735155,35280787,194145509,165634197
2021-08-12,2021,8,12,334735155,35431215,194566702,165879590
2021-08-13,2021,8,13,334735155,35576558,195135727,166220196
2021-08-14,2021,8,14,334735155,35715372,195731480,166607810
2021-08-15,2021,8,15,334735155,35824842,196129678,166876116
2021-08-16,2021,8,16,334735155,35932772,196628484,167199210
2021-08-17,2021,8,17,334735155,36081542,196956606,167403618
2021-08-18,2021,8,18,334735155,36247970,197346978,167688236
2021-08-19,2021,8,19,334735155,36421933,197901490,168089988
2021-08-20,2021,8,20,334735155,36588662,198429244,168491820
2021-08-21,2021,8,21,334735155,36732124,198947007,168894007
2021-08-22,2021,8,22,334735155,36858160,199420198,169305500
2021-08-23,2021,8,23,334735155,36973007,199707016,169568829
2021-08-24,2021,8,24,334735155,37134622,200026166,169844214
2021-08-25,2021,8,25,334735155,37310748,200479155,170244122
2021-08-26,2021,8,26,334735155,37495886,200933292,170636755
2021-08-27,2021,8,27,334735155,37677128,201439618,171107825
2021-08-28,2021,8,28,334735155,37828846,201950569,171557404
2021-08-29,2021,8,29,334735155,37946154,202383924,171969000
2021-08-30,2021,8,30,334735155,38077910,202685111,172277662
2021-08-31,2021,8,31,334735155,38253407,202963689,172563463
2021-09-01,2021,9,1,334735155,38450651,203458649,173036923
2021-09-02,2021,9,2,334735155,38630935,203834376,173406046
2021-09-03,2021,9,3,334735155,38813316,204374728,173963347
2021-09-04,2021,9,4,334735155,38956617,204808649,174384633
2021-09-05,2021,9,5,334735155,39080945,205078919,174650491
2021-09-06,2021,9,6,334735155,39189561,205257800,174834778
2021-09-07,2021,9,7,334735155,39306012,205478253,175068682
2021-09-08,2021,9,8,334735155,39474943,205901576,175506339
2021-09-09,2021,9,9,334735155,39657566,206176452,175829813
2021-09-10,2021,9,10,334735155,39827852,206563008,176287310
2021-09-11,2021,9,11,334735155,39981906,206948692,176710152
2021-09-12,2021,9,12,334735155,40096812,207276918,177068598
2021-09-13,2021,9,13,334735155,40207556,207535030,177355023
2021-09-14,2021,9,14,334735155,40368492,207811667,177658468
2021-09-15,2021,9,15,334735155,40530226,208180702,178057971
2021-09-16,2021,9,16,334735155,40695963,208509115,178441207
2021-09-17,2021,9,17,334735155,40852516,208898512,178921301
2021-09-18,2021,9,18,334735155,40976679,209281573,179378211
2021-09-19,2021,9,19,334735155,41072730,209561013,179719986
2021-09-20,2021,9,20,334735155,41163263,209815846,180062103
2021-09-21,2021,9,21,334735155,41297047,210032947,180343847
2021-09-22,2021,9,22,334735155,41428342,210316463,180712224
2021-09-23,2021,9,23,334735155,41564207,210328906,180904863
2021-09-24,2021,9,24,334735155,41696263,210619423,181269073
2021-09-25,2021,9,25,334735155,41793566,210927602,181657359
2021-09-26,2021,9,26,334735155,41869816,211200881,181968685
2021-09-27,2021,9,27,334735155,41970025,211397529,182182992
2021-09-28,2021,9,28,334735155,42085563,211488830,182355784
2021-09-29,2021,9,29,334735155,42201501,211768959,182617341
2021-09-30,2021,9,30,334735155,42323170,212046494,182875572
2021-10-01,2021,10,1,334735155,42443525,212303231,183120107
2021-10-02,2021,10,2,334735155,42526247,212574737,183410450
2021-10-03,2021,10,3,334735155,42593390,212935914,183758632
2021-10-04,2021,10,4,334735155,42677968,213203471,184053534
2021-10-05,2021,10,5,334735155,42780304,213437021,184324279
2021-10-06,2021,10,6,334735155,42895719,213713159,184649979
2021-10-07,2021,10,7,334735155,43007573,213964250,184879886
2021-10-08,2021,10,8,334735155,43114578,214265314,185176812
2021-10-09,2021,10,9,334735155,43185610,214579369,185473026
2021-10-10,2021,10,10,334735155,43244586,214794287,185680898
2021-10-11,2021,10,11,334735155,43317766,214941811,185818201
2021-10-12,2021,10,12,334735155,43406706,215090663,185970754
2021-10-13,2021,10,13,334735155,43502151,215313118,186192720
2021-10-14,2021,10,14,334735155,43597005,215588599,186486718
2021-10-15,2021,10,15,334735155,43687681,215938198,186846669
2021-10-16,2021,10,16,334735155,43751736,216176721,187087073
2021-10-17,2021,10,17,334735155,43800333,216413028,187320174
2021-10-18,2021,10,18,334735155,43867717,216574289,187467243
2021-10-19,2021,10,19,334735155,43947164,216745704,187644722
2021-10-20,2021,10,20,334735155,44022631,216959468,187861714
2021-10-21,2021,10,21,334735155,44109259,217196408,188071744
2021-10-22,2021,10,22,334735155,44190999,217742282,188525399
2021-10-23,2021,10,23,334735155,44227927,217980566,188741017
2021-10-24,2021,10,24,334735155,44253582,218180704,188913124
2021-10-25,2021,10,25,334735155,44336628,218343730,189031035
2021-10-26,2021,10,26,334735155,44438064,218468106,189120676
2021-10-27,2021,10,27,334735155,44521124,218749973,189313975
2021-10-28,2021,10,28,334735155,44624581,219154921,189560921
2021-10-29,2021,10,29,334735155,44710630,218661113,190312193
2021-10-30,2021,10,30,334735155,44745665,219014806,190553738
2021-10-31,2021,10,31,334735155,44771079,219306383,190756638
2021-11-01,2021,11,1,334735155,44886689,219539293,190886132
2021-11-02,2021,11,2,334735155,44960655,219728691,191017329
2021-11-03,2021,11,3,334735155,45038516,220031274,191219276
2021-11-04,2021,11,4,334735155,45126456,220347329,191510553
2021-11-05,2021,11,5,334735155,45214854,220598026,191689392
2021-11-06,2021,11,6,334735155,45250833,220930725,191884636
2021-11-07,2021,11,7,334735155,45280660,221304198,192081401
2021-11-08,2021,11,8,334735155,45396071,221612329,192246285
2021-11-09,2021,11,9,334735155,45477763,221915189,192409647
2021-11-10,2021,11,10,334735155,45570141,222316106,192620379
2021-11-11,2021,11,11,334735155,45642794,222807400,192807486
2021-11-12,2021,11,12,334735155,45764068,223238292,192975250
2021-11-13,2021,11,13,334735155,45832985,223787067,193171057
2021-11-14,2021,11,14,334735155,45864822,224232329,193337232
2021-11-15,2021,11,15,334735155,45997133,224750685,193488430
2021-11-16,2021,11,16,334735155,46094100,225304810,193646368
2021-11-17,2021,11,17,334735155,46197606,225782720,193819360
2021-11-18,2021,11,18,334735155,46319726,226170228,193916554
2021-11-19,2021,11,19,334735155,46433442,226875600,194120619
2021-11-20,2021,11,20,334735155,46479261,227411819,194323616
2021-11-21,2021,11,21,334735155,46513823,227865164,194476722
2021-11-22,2021,11,22,334735155,46657614,228291263,194589330
2021-11-23,2021,11,23,334735155,46756910,228222100,194162341
2021-11-24,2021,11,24,334735155,46863608,228912329,194353721
2021-11-25,2021,11,25,334735155,46932592,228912329,194353721
2021-11-26,2021,11,26,334735155,47014273,228912329,194353721
2021-11-27,2021,11,27,334735155,47066119,228912329,194353721
2021-11-28,2021,11,28,334735155,47118603,228912329,194353721
2021-11-29,2021,11,29,334735155,47211251,230312344,194982232
2021-11-30,2021,11,30,334735155,47330301,230725298,195233428
2021-12-01,2021,12,1,334735155,47461081,231102222,195534549
2021-12-02,2021,12,2,334735155,47603076,231772753,196006735
2021-12-03,2021,12,3,334735155,47754734,232233821,196373568
2021-12-04,2021,12,4,334735155,47822110,232777082,196749605
2021-12-05,2021,12,5,334735155,47870996,233168014,197116099
2021-12-06,2021,12,6,334735155,48052141,233477630,197462791
