date,state,location,id,year,month,day,population,tot_case,tot_vaccine,covid_rate,avg_vaccine
2021-11-23,Ohio,OH,39,2021,11,23,11799448,1653380,14143548,0.14012350408256385,1.1986618357062127
2021-11-24,Ohio,OH,39,2021,11,24,11799448,1660131,14192281,0.14069564949139993,1.2027919441655237
2021-11-25,Ohio,OH,39,2021,11,25,11799448,1660131,14192281,0.14069564949139993,1.2027919441655237
2021-11-26,Ohio,OH,39,2021,11,26,11799448,1669274,14192281,0.1414705162478787,1.2027919441655237
2021-11-27,Ohio,OH,39,2021,11,27,11799448,1673496,14192281,0.14182832959643535,1.2027919441655237
2021-11-28,Ohio,OH,39,2021,11,28,11799448,1677741,14192281,0.14218809218871933,1.2027919441655237
2021-11-29,Ohio,OH,39,2021,11,29,11799448,1683472,14396558,0.14267379287573453,1.220104364204156
2021-11-30,Ohio,OH,39,2021,11,30,11799448,1690217,14419053,0.14324542978620694,1.2220108093192157
2021-12-01,Ohio,OH,39,2021,12,1,11799448,1699161,14464217,0.14400343134695792,1.2258384460018807
2021-12-02,Ohio,OH,39,2021,12,2,11799448,1708292,14521898,0.1447772811067094,1.2307268950208519
2021-12-03,Ohio,OH,39,2021,12,3,11799448,1717876,14587520,0.14558952249291662,1.2362883416241166
2021-12-04,Ohio,OH,39,2021,12,4,11799448,1725669,14665037,0.14624997711757365,1.2428578862333222
2021-12-05,Ohio,OH,39,2021,12,5,11799448,1731003,14734092,0.1467020321628605,1.2487102786503232
2021-12-06,Ohio,OH,39,2021,12,6,11799448,1735925,14783790,0.14711917032050992,1.252922170596455
2021-12-07,Ohio,OH,39,2021,12,7,11799448,1743801,14815116,0.14778665917253078,1.2555770405530835
2021-12-08,Ohio,OH,39,2021,12,8,11799448,1752508,14874510,0.1485245750479175,1.2606106658548772
2021-12-09,Ohio,OH,39,2021,12,9,11799448,1761008,14934121,0.14924494772975821,1.2656626818474899
2021-12-10,Ohio,OH,39,2021,12,10,11799448,1768367,15003924,0.1498686209727777,1.271578467060493
2021-12-11,Ohio,OH,39,2021,12,11,11799448,1776439,15068930,0.15055272077134454,1.2770877078317562
2021-12-12,Ohio,OH,39,2021,12,12,11799448,1781411,15130410,0.15097409641535772,1.2822981210646465
2021-12-13,Ohio,OH,39,2021,12,13,11799448,1787029,15179078,0.1514502203831908,1.2864227207916845
2021-12-14,Ohio,OH,39,2021,12,14,11799448,1796951,15203536,0.1522911071772171,1.2884955296213856
2021-12-15,Ohio,OH,39,2021,12,15,11799448,1807539,15260191,0.1531884372896088,1.293297025420172
2021-12-16,Ohio,OH,39,2021,12,16,11799448,1819342,15319804,0.1541887383206401,1.2983492109122392
2021-12-17,Ohio,OH,39,2021,12,17,11799448,1829367,15365280,0.15503835433657576,1.3022032895098143
2021-12-18,Ohio,OH,39,2021,12,18,11799448,1839501,15430912,0.15589720807278443,1.307765583610352
2021-12-19,Ohio,OH,39,2021,12,19,11799448,1847140,15496132,0.15654461123944102,1.313292960823252
2021-12-20,Ohio,OH,39,2021,12,20,11799448,1855222,15540819,0.15722955853528064,1.3170801718860068
2021-12-21,Ohio,OH,39,2021,12,21,11799448,1867724,15568579,0.15828909962567742,1.3194328243151714
2021-12-22,Ohio,OH,39,2021,12,22,11799448,1880588,15616525,0.15937932011734787,1.3234962347391166
2021-12-23,Ohio,OH,39,2021,12,23,11799448,1896577,15679874,0.16073438350675387,1.3288650452122845
2021-12-24,Ohio,OH,39,2021,12,24,11799448,1910991,15680769,0.16195596607570117,1.3289408962181959
2021-12-25,Ohio,OH,39,2021,12,25,11799448,1910991,15681361,0.16195596607570117,1.328991068056743
2021-12-26,Ohio,OH,39,2021,12,26,11799448,1931908,15681362,0.16372867612112024,1.3289911528064702
2021-12-27,Ohio,OH,39,2021,12,27,11799448,1940000,15681362,0.16441447091423259,1.3289911528064702
2021-12-28,Ohio,OH,39,2021,12,28,11799448,1955403,15828783,0.16571987096345525,1.3414850423511337
2021-12-29,Ohio,OH,39,2021,12,29,11799448,1975723,15870180,0.16744198542169092,1.3449934268111525
2021-12-30,Ohio,OH,39,2021,12,30,11799448,1995497,15926401,0.16911782652883423,1.3497581412283015
2021-12-31,Ohio,OH,39,2021,12,31,11799448,2016095,15986492,0.17086350141125245,1.3548508370900063
2022-01-01,Ohio,OH,39,2022,1,1,11799448,2016095,15986991,0.17086350141125245,1.3548931272039166
2022-01-02,Ohio,OH,39,2022,1,2,11799448,2053721,15986991,0.1740522946497158,1.3548931272039166
2022-01-03,Ohio,OH,39,2022,1,3,11799448,2072663,15987032,0.17565762398376603,1.3548966019427349
2022-01-04,Ohio,OH,39,2022,1,4,11799448,2093074,16086902,0.17738745066718375,1.363360557205727
2022-01-05,Ohio,OH,39,2022,1,5,11799448,2112824,16126222,0.17906125778087245,1.3666929164821948
2022-01-06,Ohio,OH,39,2022,1,6,11799448,2132266,16181328,0.18070896197856035,1.3713631349534317
2022-01-07,Ohio,OH,39,2022,1,7,11799448,2151829,16231174,0.18236692089324857,1.3755875698592002
2022-01-08,Ohio,OH,39,2022,1,8,11799448,2170139,16280404,0.18391868839966072,1.379759798932967
2022-01-09,Ohio,OH,39,2022,1,9,11799448,2189228,16331084,0.1855364759436204,1.384054915111283
2022-01-10,Ohio,OH,39,2022,1,10,11799448,2207270,16362082,0.18706553052312277,1.3866819871573652
